year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1884,8.2,7.6,9.6,10.7,15.9,18.4,20.3,22.2,18.4,12.6,8.2,6.4,0,12.06,20.3,13.05,13.22
1885,4.6,8.4,8.0,11.7,12.8,18.5,21.0,18.0,16.3,10.3,8.1,6.1,6.40,10.84,19.16,11.53,11.98
1886,4.3,3.4,6.8,11.3,14.4,17.5,20.2,20.1,17.5,14.0,9.0,4.9,4.62,10.84,19.28,13.51,12.0
1887,4.6,7.1,7.0,10.7,13.1,20.6,22.6,20.8,15.4,10.6,7.1,5.3,5.48,10.28,21.35,11.0,12.11
1888,5.5,3.9,5.8,9.5,15.2,17.2,17.0,18.1,16.3,12.1,9.8,7.4,4.92,10.17,17.42,12.72,11.5
1889,5.5,5.6,7.9,10.3,16.6,20.1,19.2,18.6,16.5,11.8,9.2,5.8,6.16,11.64,19.28,12.52,12.3
1890,8.4,5.7,9.5,11.0,16.1,17.7,18.3,18.4,19.1,13.4,8.9,1.4,6.67,12.22,18.14,13.79,12.36
1891,4.1,8.4,7.2,9.9,13.6,18.8,18.8,17.7,18.2,12.9,8.2,7.1,4.52,10.21,18.42,13.11,12.08
1892,4.6,5.9,6.3,12.7,15.9,17.6,17.9,19.2,16.1,10.3,9.1,4.7,5.86,11.61,18.28,11.82,11.71
1893,4.3,7.3,12.4,15.8,17.6,20.4,20.3,22.0,17.3,13.6,8.1,7.4,5.35,15.27,20.93,13.0,13.92
1894,5.6,7.8,11.0,13.9,13.1,17.6,19.9,18.0,15.3,12.3,10.3,7.5,6.93,12.65,18.49,12.62,12.7
1895,2.5,1.5,8.6,12.2,17.2,19.7,19.3,19.9,21.1,10.9,10.3,6.2,3.90,12.67,19.64,14.05,12.51
1896,6.9,7.4,10.1,12.8,16.9,20.7,21.2,18.3,16.2,10.4,7.2,6.2,6.81,13.31,20.05,11.25,12.87
1897,3.4,7.9,9.5,10.6,14.4,19.2,21.0,20.6,15.9,13.6,10.0,7.4,5.73,11.54,20.27,13.16,12.82
1898,8.3,7.5,7.7,12.3,13.7,17.7,19.9,20.9,20.2,14.3,9.9,9.5,7.75,11.22,19.51,14.78,13.52
1899,7.4,8.4,9.4,11.3,14.1,20.4,21.9,23.0,17.6,13.6,11.2,4.8,8.43,11.59,21.79,14.12,13.61
1900,6.4,5.2,6.5,12.6,14.3,18.8,22.6,19.3,18.4,13.3,9.5,9.4,5.48,11.1,20.23,13.7,13.06
1901,5.8,4.5,6.9,12.9,16.4,18.6,22.5,20.6,17.8,13.2,8.0,5.8,6.60,12.07,20.59,13.01,12.8
1902,7.0,4.1,10.1,11.7,12.6,17.5,19.0,18.3,17.0,12.4,9.2,6.7,5.68,11.49,18.27,12.86,12.18
1903,6.3,9.4,10.2,10.2,15.0,17.0,19.3,18.2,16.9,13.2,9.1,5.2,7.39,11.81,18.16,13.07,12.51
1904,6.4,5.7,7.4,12.5,14.7,17.7,21.5,19.6,16.8,13.2,8.4,6.5,5.75,11.55,19.62,12.81,12.56
1905,6.1,7.5,10.2,10.5,15.4,18.8,22.0,18.8,16.0,10.7,7.7,6.9,6.68,12.06,19.89,11.46,12.59
1906,7.5,5.9,8.3,12.2,14.2,18.6,20.6,21.5,18.9,14.1,9.9,5.5,6.82,11.56,20.26,14.29,13.14
1907,5.7,5.6,10.8,11.3,14.3,16.2,18.1,18.5,18.5,13.2,9.4,6.9,5.60,12.15,17.63,13.68,12.42
1908,5.2,7.8,7.3,9.6,16.5,19.0,20.1,18.9,16.7,15.5,10.3,6.3,6.59,11.13,19.31,14.16,12.77
1909,5.7,5.9,6.3,13.5,15.9,15.6,18.5,20.2,15.6,13.6,7.9,6.3,5.98,11.89,18.15,12.37,12.13
1910,5.9,7.6,9.7,11.0,15.4,18.8,17.8,18.9,16.4,13.6,6.5,8.3,6.59,12.03,18.52,12.2,12.53
1911,5.8,7.3,7.8,11.0,17.5,19.0,23.7,23.2,19.3,12.8,8.6,8.3,7.13,12.12,22.0,13.55,13.74
1912,5.8,7.8,10.1,13.6,16.1,17.7,19.8,16.4,14.7,12.5,8.6,9.2,7.28,13.28,17.96,11.93,12.7
1913,6.5,7.6,9.4,11.3,15.8,18.6,18.4,19.9,17.9,14.2,11.1,7.0,7.75,12.17,18.97,14.39,13.17
1914,5.5,9.5,9.2,14.7,15.1,19.3,20.0,20.7,18.2,13.7,9.6,7.1,7.29,12.95,20.0,13.82,13.56
1915,5.9,6.9,8.5,11.9,15.5,19.2,18.6,19.4,17.8,12.5,6.4,7.8,6.63,11.93,19.07,12.24,12.56
1916,9.7,6.2,5.9,12.6,15.9,15.5,19.4,20.8,16.7,13.7,9.3,4.7,7.91,11.45,18.57,13.26,12.55
1917,2.9,3.8,6.4,9.2,17.5,19.9,20.5,18.7,17.9,11.4,10.4,4.8,3.83,11.05,19.7,13.22,11.99
1918,6.2,8.6,9.6,10.2,17.5,18.1,20.0,20.2,15.5,12.3,8.7,9.1,6.45,12.46,19.46,12.16,13.04
1919,5.0,4.3,6.6,11.0,17.9,18.8,17.9,20.6,17.3,11.7,5.8,7.8,6.22,11.87,19.1,11.58,12.11
1920,7.7,8.9,10.8,11.1,16.0,18.6,17.7,17.5,17.1,14.2,9.7,6.5,8.11,12.66,17.94,13.66,13.0
1921,9.3,7.6,10.7,12.9,16.4,19.6,23.7,19.4,19.1,17.3,7.5,9.0,7.83,13.34,20.91,14.64,14.42
1922,6.1,7.2,7.5,9.6,17.8,18.5,17.4,17.2,15.8,11.8,8.8,7.7,7.45,11.62,17.7,12.15,12.14
1923,8.0,7.6,9.6,11.1,13.2,16.2,21.7,19.5,16.7,12.8,6.3,6.1,7.76,11.29,19.17,11.92,12.43
